id,userId,movieId,rating
0,1,527,5.0
1,1,1278,5.0
2,1,2078,5.0
3,1,2329,5.0
4,1,2502,5.0
5,1,2959,5.0
6,1,3147,5.0
7,1,1197,4.976518919030437
8,1,1196,4.9546556927406575
9,1,50,4.931295955078382
10,2,318,4.371620458761727
11,2,68157,4.268084289716521
12,2,80906,4.245404152254947
13,2,58559,4.24050643075617
14,2,48516,4.202258534805065
15,2,80489,4.1840935415102125
16,2,1704,4.171307455576191
17,2,6874,4.154676145330234
18,2,112552,4.153286472311448
19,2,106782,4.149684435810174
20,3,7991,3.6208395982349764
21,3,3703,3.5357111170687165
22,3,4518,3.483681682711433
23,3,5746,3.4640683296030117
24,3,5181,3.4052961034992464
25,3,6835,3.3355280347807095
26,3,5919,3.323361922937402
27,3,70946,3.284538276349192
28,3,2851,3.2824974281928645
29,3,7899,3.26303275201399
30,4,176,4.724551994494096
31,4,1250,4.707412172363021
32,4,608,4.686351906079569
33,4,1086,4.682932178337043
34,4,4967,4.557430326244484
35,4,914,4.553028506113383
36,4,908,4.546093384044334
37,4,898,4.538568722661821
38,4,457,4.521263218418487
39,4,1283,4.4981378587368095
40,5,475,4.418983546254363
41,5,247,4.310927999681425
42,5,296,4.304879481820487
43,5,527,4.260447637531874
44,5,318,4.181546626631064
45,5,50,4.171769046462125
46,5,110,4.1480298050085915
47,5,58,4.022542985898989
48,5,590,4.017489189548179
49,5,290,3.993227178465494
50,6,356,4.604030019878954
51,6,318,4.489358047511449
52,6,377,4.4636790795390935
53,6,590,4.460555010426974
54,6,110,4.392806263793636
55,6,364,4.324615337231249
56,6,457,4.3228170795551355
57,6,736,4.305929109827378
58,6,16,4.24125587328333
59,6,86,4.239720333566967
60,7,260,4.335787164433048
61,7,1270,4.316078715951609
62,7,1219,4.256137682849743
63,7,1196,4.244513347983303
64,7,4993,4.2347927482770364
65,7,50,4.233830771518681
66,7,1208,4.21794538172897
67,7,5618,4.203485096090798
68,7,48783,4.127946112414838
69,7,750,4.12084335830313
70,8,318,4.506990418363897
71,8,527,4.482310800157689
72,8,50,4.301600448313592
73,8,296,4.26386439619894
74,8,34,4.151294772579355
75,8,47,4.0132914643995194
76,8,253,3.9675974117674886
77,8,590,3.9591409906742934
78,8,364,3.9575593285431476
79,8,593,3.947616567581427
80,9,1198,4.207393108990085
81,9,5902,4.199755276832559
82,9,1270,4.1233485407829455
83,9,2300,4.090902694989649
84,9,922,3.978743213087916
85,9,4993,3.9196390215664256
86,9,923,3.9172343682056745
87,9,5952,3.873592100770069
88,9,5445,3.7435726580137074
89,9,5218,3.6758843761078923
90,10,81845,4.177857951966147
91,10,912,4.1583202085406406
92,10,4995,4.079325944452832
93,10,92259,4.048958879083932
94,10,40819,4.044136218909395
95,10,33794,4.040737316619519
96,10,91529,4.030539312955308
97,10,79091,4.012936662400173
98,10,58559,3.9969176790024283
99,10,49272,3.9673250102460087
100,11,457,4.720754543391358
101,11,356,4.594962565511865
102,11,593,4.499325002333943
103,11,318,4.49166294710588
104,11,6,4.412846487740198
105,11,529,4.367837211807716
106,11,1704,4.355291253750824
107,11,110,4.34704811386333
108,11,2028,4.317927652285138
109,11,150,4.311807133490528
110,12,6942,4.944143580174472
111,12,1357,4.854597669018041
112,12,920,4.836480057789863
113,12,838,4.8273131847999915
114,12,3668,4.801699244444728
115,12,8533,4.792801825644489
116,12,2572,4.778712504883884
117,12,3967,4.752494628631114
118,12,40629,4.720482652722584
119,12,261,4.708409021369144
120,13,2571,4.624664231289225
121,13,1198,4.546782079751302
122,13,4011,4.431661157550554
123,13,47,4.390990712538006
